# Renewables.ninja Weather (Point API) - 51.447, 0.000 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://doi.org/10.1175/JCLI-D-16-0758.1
# Units: time in UTC, temperature in ºC, radiation_global_horizontal in W/m², humidity in kg/kg, wind_speed_2m in m/s
# {"units": {"time": "UTC", "temperature": "\u00baC", "radiation_global_horizontal": "W/m\u00b2", "humidity": "kg/kg", "wind_speed_2m": "m/s"}, "params": {"lat": "51.447", "lon": "0", "date_from": "2015-01-01", "date_to": "2015-12-31", "var_temperature": true, "var_radiation_global_horizontal": true, "var_humidity": true, "var_wind_speed_2m": true}}
time,temperature,radiation_global_horizontal,humidity,wind_speed_2m
2015-01-01 00:00,4.817,0,0.005,4.647
2015-01-01 01:00,5.227,0,0.005,4.803
2015-01-01 02:00,5.602,0,0.005,4.994
2015-01-01 03:00,5.773,0,0.005,4.945
2015-01-01 04:00,5.926,0,0.005,4.487
2015-01-01 05:00,6.121,0,0.006,4.919
2015-01-01 06:00,6.220,0,0.006,5.547
2015-01-01 07:00,6.167,0,0.006,5.854
2015-01-01 08:00,6.286,6.901,0.006,6.138
2015-01-01 09:00,6.582,22.819,0.006,6.180
2015-01-01 10:00,6.957,49.766,0.006,6.402
2015-01-01 11:00,7.395,84.735,0.006,6.723
2015-01-01 12:00,7.694,79.009,0.006,6.928
2015-01-01 13:00,7.824,46.327,0.006,7.036
2015-01-01 14:00,7.862,21.625,0.006,7.075
2015-01-01 15:00,7.892,7.322,0.006,7.325
2015-01-01 16:00,8.008,0,0.006,7.662
2015-01-01 17:00,8.357,0,0.006,8.041
2015-01-01 18:00,8.699,0,0.007,8.266
2015-01-01 19:00,8.950,0,0.007,8.443
2015-01-01 20:00,9.204,0,0.007,8.545
2015-01-01 21:00,9.482,0,0.007,8.614
2015-01-01 22:00,9.818,0,0.007,8.652
2015-01-01 23:00,10.222,0,0.007,8.595
2015-01-02 00:00,10.638,0,0.007,8.404
2015-01-02 01:00,11.038,0,0.008,8.052
2015-01-02 02:00,11.452,0,0.008,7.518
2015-01-02 03:00,11.478,0,0.008,6.860
2015-01-02 04:00,10.397,0,0.007,6.348
2015-01-02 05:00,8.680,0,0.006,5.803
2015-01-02 06:00,7.690,0,0.006,5.336
2015-01-02 07:00,7.052,0,0.005,5.024
2015-01-02 08:00,6.477,8.895,0.005,4.675
2015-01-02 09:00,6.364,55.350,0.005,4.558
2015-01-02 10:00,6.887,164.902,0.005,4.700
2015-01-02 11:00,7.644,229.109,0.005,5.020
2015-01-02 12:00,8.082,235.886,0.005,5.416
2015-01-02 13:00,8.025,198.849,0.004,5.344
2015-01-02 14:00,7.373,118.572,0.004,5.028
2015-01-02 15:00,5.864,26.278,0.004,4.124
2015-01-02 16:00,4.053,0,0.004,2.984
2015-01-02 17:00,3.231,0,0.004,2.544
2015-01-02 18:00,3.216,0,0.004,2.535
2015-01-02 19:00,3.200,0,0.004,2.347
2015-01-02 20:00,2.459,0,0.004,2.197
2015-01-02 21:00,1.485,0,0.004,2.196
2015-01-02 22:00,2.421,0,0.004,2.434
2015-01-02 23:00,2.606,0,0.004,2.292
2015-01-03 00:00,2.460,0,0.004,2.296
2015-01-03 01:00,1.978,0,0.004,2.038
2015-01-03 02:00,2.104,0,0.004,2.003
2015-01-03 03:00,2.658,0,0.004,1.732
2015-01-03 04:00,3.115,0,0.005,1.599
2015-01-03 05:00,3.077,0,0.005,1.395
2015-01-03 06:00,3.408,0,0.005,1.819
2015-01-03 07:00,3.520,0,0.005,2.705
2015-01-03 08:00,3.863,2.303,0.005,3.452
2015-01-03 09:00,4.424,13.893,0.005,3.530
2015-01-03 10:00,5.190,35.174,0.005,2.901
2015-01-03 11:00,5.846,29.935,0.006,1.734
2015-01-03 12:00,6.528,30.144,0.006,0.981
2015-01-03 13:00,6.910,31.942,0.006,2.034
2015-01-03 14:00,6.682,22.462,0.006,2.500
2015-01-03 15:00,5.885,3.067,0.006,3.645
2015-01-03 16:00,4.322,0,0.005,4.105
2015-01-03 17:00,3.191,0,0.005,3.502
2015-01-03 18:00,2.891,0,0.004,2.990
2015-01-03 19:00,2.531,0,0.004,2.769
2015-01-03 20:00,2.157,0,0.004,2.627
2015-01-03 21:00,1.851,0,0.004,2.602
2015-01-03 22:00,1.780,0,0.004,2.627
2015-01-03 23:00,1.807,0,0.004,2.591
2015-01-04 00:00,1.413,0,0.004,2.076
2015-01-04 01:00,0.656,0,0.004,1.471
2015-01-04 02:00,0.042,0,0.004,1.250
2015-01-04 03:00,-0.513,0,0.004,1.550
2015-01-04 04:00,-1.016,0,0.003,1.366
2015-01-04 05:00,-1.119,0,0.003,1.302
2015-01-04 06:00,-1.522,0,0.003,1.098
2015-01-04 07:00,-1.843,0,0.003,0.958
2015-01-04 08:00,-1.809,20.951,0.003,1.167
2015-01-04 09:00,-1.170,91.685,0.003,1.099
2015-01-04 10:00,-0.049,169.361,0.003,0.983
